,Cars,Motorbikes,Buses,Trucks,Vans,Pedestrians & cyclists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2020,169550,815,11942,8972,19344,33347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2020,166356,772,11826,8102,17255,32064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2020,148611,703,12676,6916,14116,28462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2020,204002,697,14362,14587,35104,31441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2020,198973,713,13703,14599,34290,33292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2020,212058,736,14652,15440,37651,35270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2020,204810,652,13636,14929,34966,31226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2020,219096,801,13149,14711,34615,33203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2020,205809,921,13510,9078,22781,41456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2020,182441,769,11910,7099,15726,35556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2020,203942,685,13487,14595,34750,30645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2020,207368,684,13181,15081,35408,28467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2020,210263,640,13230,15131,34968,27282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2020,220342,764,13859,15889,37076,30353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2020,247593,855,14655,16290,39300,35852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2020,226919,749,13555,9891,23968,33342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2020,212595,723,12861,7278,16353,34667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2020,203969,644,11809,8708,19320,30935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2020,231896,781,14608,16431,39206,32916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020,238102,857,15608,17033,40902,36355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2020,230848,683,14075,17175,39136,29622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2020,237980,675,13774,16626,37785,29207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2020,229351,648,12600,10331,23582,31155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2020,203321,630,10967,7677,16386,26441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2020,225736,650,14413,16734,38280,29066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2020,231721,714,14799,16757,39593,31650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2020,244830,820,16766,18508,45103,39665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2020,247347,884,16986,18416,45511,41410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2020,269561,845,16252,18367,44842,38252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2020,240239,636,14458,10809,27118,33497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2020,222113,700,12609,7774,18809,37343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2020,237301,804,16648,17708,42132,42093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2020,244582,867,16521,17873,42296,41985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2020,233619,610,17074,18720,44003,31812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2020,240811,757,16623,18104,42454,37555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2020,261904,879,16778,18440,43326,40176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2020,270672,722,14365,11010,26663,39010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2020,237761,684,11656,7965,18390,33409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2020,244621,732,16383,17594,41006,38681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2020,248546,680,16146,18340,42107,36104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2020,247582,663,17299,19370,44733,37969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2020,241123,548,16123,18538,40748,29361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2020,286320,850,17469,19223,46044,45965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2020,287981,648,14889,11239,28084,43500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2020,254875,709,12936,8355,19945,34818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2020,239672,605,15655,18060,39587,32759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2020,249093,693,15953,18565,40897,34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2020,255362,647,16377,19275,42431,32493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2020,254508,638,15475,18544,40685,29903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2020,289294,711,16928,19782,44111,34453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2020,283933,727,15914,12192,29399,38506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2020,261858,675,12548,8573,20957,34264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2020,258607,797,18255,19526,45527,42843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2020,240590,720,17095,18621,43336,39468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2020,266657,723,18155,20327,46493,40818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2020,272952,639,18563,20561,47468,37149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2020,295401,686,18248,20589,48695,42795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2020,284850,695,16466,12807,32023,48449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2020,274314,699,12839,8944,20692,35741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2020,258551,723,17864,19446,44370,43289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2020,246577,666,17627,19353,43550,40520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2020,247778,514,18285,20671,45414,35649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2020,254841,574,17943,20932,46635,39328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2020,297400,752,18637,20357,47230,47499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2020,298279,680,16363,12412,29350,44204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2020,261261,591,12617,8651,19739,34831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2020,235229,677,16785,17115,38232,37282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,211827,584,15757,17541,38943,33422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2020,250116,791,17341,16644,41516,41732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2020,276277,727,19029,20285,46986,47112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2020,286673,674,17165,19172,41800,37485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2020,296500,661,16356,12227,29048,40658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2020,258311,698,14009,9078,22124,38579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2020,249309,572,17270,18776,40505,34622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2020,253992,643,17435,19060,41911,37261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2020,265673,701,18004,19651,44617,38891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2020,272811,769,18435,20301,46070,42941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2020,295130,813,19193,20222,46819,46760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2020,280412,587,16867,12875,30564,35302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2020,271776,609,13770,8827,21295,37278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2020,254508,621,19425,20005,43946,40141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2020,264539,698,18606,19888,44573,43119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2020,260437,598,17324,19156,42719,37963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2020,254626,562,16571,19139,40238,31160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2020,306622,683,18534,19824,43538,38707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2020,317926,748,17526,13337,30450,43892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2020,272488,661,13125,8972,21038,34523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2020,255885,673,17860,18478,41116,38383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2020,249686,665,17305,19118,42310,38124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2020,262722,681,18275,19960,43359,40061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2020,263608,725,18430,20304,44225,39842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2020,274273,661,17840,19075,41189,34379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2020,288694,729,16582,12219,28279,40468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2020,265277,663,12810,8994,19898,32353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2020,250602,641,17365,18832,39972,34606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2020,254303,643,17789,19436,41351,36182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2020,261038,716,17783,19341,42291,37520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2020,265679,680,18489,19839,43074,36144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2020,278354,721,19127,20864,46281,40491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2020,268689,569,16167,12769,29919,37165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2020,253859,653,13293,9088,21173,34774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2020,255733,629,18340,19129,41642,37533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2020,264755,619,18323,19599,42984,42431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2020,247952,510,18740,21198,43812,28828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2020,267166,560,17605,19642,42468,36571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2020,298859,670,19403,20676,45405,44023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2020,297777,599,16150,12697,28588,40431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2020,276605,653,13250,9216,21398,37774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2020,257894,573,18979,19492,42264,40822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2020,255822,491,17784,20546,42529,35955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/2020,280417,616,18642,20878,45209,46533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2020,254464,461,17943,19623,41102,32354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2020,287631,530,18757,21186,45373,39708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2020,291758,626,16903,13412,31064,43365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2020,284751,595,13607,9348,22567,42923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2020,274214,630,13665,10937,25048,47110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2020,266242,565,18265,20337,42843,41379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2020,264642,533,18935,21284,46237,40875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2020,267486,583,19198,22147,47351,44857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2020,293547,644,19690,22356,47930,49283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2020,301261,576,16421,13727,30673,44520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2020,276249,568,12922,9117,21438,38266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2020,266182,628,19081,20987,44933,50006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2020,270178,715,19026,21823,46555,50340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/2020,277466,718,19422,22558,47383,50561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
