Hauteur
6,3194
5,855
5,132
4,5885
3,9385
3,273
2,700833333
2,20575
2,483142857
4,153
5,3515
6,1868
6,34875
5,8695
5,363
4,725
4,104
3,731
2,935
2,514333333
2,45425
4,0232
5,2015
6,2454
6,5786
6,4595
5,929833333
5,329333333
4,735
4,1205
3,5616
3,094833333
3,016181818
3,816285714
5,145
6,1818
6,643
6,564833333
6,108428571
5,367
4,913
4,214666667
3,795285714
3,270166667
2,750428571
2,984625
4,491571429
5,556
6,1974
6,224142857
5,78375
5,169
4,72175
4,2625
3,632666667
3,178285714
2,79075
2,9867
4,2808
5,354833333
6,0522
6,1846
5,7844
5,353
4,8755
4,3735
3,8115
3,176
2,784666667
2,668625
3,231833333
4,71
5,437666667
5,8792
5,66475
5,0315
4,719
4,299333333
3,958
3,558
2,938
2,701571429
3,3034
4,6776
5,506333333
5,884666667
5,7322
5,24225
4,841
4,406
3,9365
3,604
3,024
2,756
2,75025
3,724666667
4,9856
5,5168
5,614142857
5,25875
4,731333333
4,442
4,09475
3,768
3,321666667
2,884666667
2,856
3,46125
4,959
5,536
5,676
5,4985
5,10725
4,75675
4,481
4,0745
3,71325
3,3615
3,0938
3,263714286
4,1566
5,044
5,42
5,433333333
5,2252
5,1035
5,062166667
4,92475
4,459285714
3,99575
3,6616
3,565285714
4,134166667
4,932833333
5,459
5,5802
5,505
5,377666667
5,273
4,906
4,68325
4,200666667
3,763
3,547666667
3,48325
4,133833333
4,696666667
5,0165
5,1498
5,24325
5,2564
5,0702
4,91
4,365
4,02975
3,696666667
3,509
3,84825
4,5962
5,055
5,301666667
5,385333333
5,382
5,248666667
5,112
4,689
4,361
3,906333333
3,6065
3,4305
3,673
4,4625
4,97925
5,3375
5,4865
5,4225
5,254666667
5,062
4,762
4,1935
3,8555
3,508666667
3,61025
4,07
5,0172
5,5554
5,6555
5,604
5,435333333
5,2355
4,821
4,3435
4,025
3,65
3,386
3,484333333
4,377
5,23475
5,77475
5,9696
5,836
5,5365
5,254
4,496
4,1305
3,773
3,458333333
3,520666667
4,3066
5,25325
5,806333333
6,0914
6,021333333
5,725
5,4725
4,966
4,467
3,906
3,538
3,329666667
3,5295
4,779666667
5,787333333
6,362833333
6,5016
6,22475
5,801
5,3545
4,772
4,20075
3,803
3,380666667
3,4156
4,5648
5,815
6,4278
6,6355
6,459333333
5,9155
5,506
5,237
4,398333333
3,976
3,483
3,17
3,5084
5,1438
6,2995
6,88725
6,8806
6,674
5,9435
5,202
4,7625
4,2215
3,6865
3,289
3,2946
4,5975
6,023
6,8202
6,9924
6,688
6,167
5,654
4,824
4,334333333
3,835
3,41
3,0145
3,7437
5,532
6,6152
7,144
7,072166667
6,576
5,9805
5,261
4,629
4,12
3,6555
3,207
3,2161
4,817375
6,3
6,9784
7,108
6,855
6,352
5,866
4,947
4,287333333
3,720333333
3,3605
2,9995
3,872666667
5,842666667
6,7824
7,2324
7,0608
6,492333333
5,893
5,406
4,698
4,056333333
3,503
3,071
3,335
5,062
6,334
7,06275
7,0834
6,774
6,106333333
5,569666667
4,907
4,25675
3,7002
3,25125
3,047125
4,185714286
6,126166667
6,877
7,2106
6,9835
