Week_Ending	NSW	QLD	VIC	SA	ACT	WA	TAS
01-Jun-14	307525.91	396115.06	294232.88	345374.57	276655.75	413777.71	
08-Jun-14	326017.8	398383.01	300930.41	350152.32	262628.79	374619.71	
15-Jun-14	276408.7	340836.1	262428.36	277557.96	254498.72	365582.47	
22-Jun-14	289980.61	375462.69	268497.97	289762.07	258035.72	372548.02	
29-Jun-14	285615.51	372885.88	268932.42	319336.66	239437.73	372168.8	
06-Jul-14	328952.71	400974.66	320344.52	381225.35	299917.56	430269.34	
13-Jul-14	324103.79	397309.28	295900.4	344140.68	276861.67	400567.47	
20-Jul-14	311399.42	367753.79	282991.5	330636.63	268930.95	393440.95	
27-Jul-14	305969.04	385894.2	290232.7	331478.77	264760.5	384009	
03-Aug-14	306800.39	394779.15	286935.31	328212.66	266523.44	399768.11	
10-Aug-14	324555.4	394983.18	305944.92	353364.33	281729.99	411469.31	
17-Aug-14	311340.53	388352.07	293246.1	335459.21	269172.42	400658.57	
24-Aug-14	315940.18	394450.95	296654.99	338264.44	270987.28	406752.69	
31-Aug-14	326566.44	403609.92	318584.76	368868.99	286550.47	432169.55	
07-Sep-14	374052.74	431505.58	363620.18	423129.28	326705.07	468659.19	
14-Sep-14	308037.31	377751.75	289871.49	328781.07	263675.76	407387.85	
21-Sep-14	321064.39	399689.41	300493.63	336021.54	266523.28	415114.74	
28-Sep-14	354429.67	436653.49	378493.03	448388	324312.2	509797.63	
05-Oct-14	399391.85	460607.41	307995.19	405690.88	297537.06	420126.05	
12-Oct-14	354699.82	422214.18	338106.61	397214.78	299829.49	441419.64	
19-Oct-14	366706.07	434729.4	340831.06	419199.78	308805.96	450993.09	
26-Oct-14	380699	442344.82	339485.65	422284.19	316892.73	448112.57	
02-Nov-14	370575.67	412987.05	365582.52	396360.09	320578.08	431712.23	
09-Nov-14	343913.4	391906.41	365444.59	398758.71	310945.43	420640.15	
16-Nov-14	358302.96	419442.52	338729.42	425505.48	313545.1	432629.05	
23-Nov-14	401998.26	451828.3	371009.74	467031.31	361398.4	479911.52	
30-Nov-14	425151.97	448986.12	393678.56	478540.61	361336.8	515998.34	
07-Dec-14	489937.32	508268.66	448830.95	544380.56	430028.13	599496.04	
14-Dec-14	557031.35	551373.36	514868.49	601031.11	470777.27	661898.53	
21-Dec-14	777280.32	766853.24	682460.24	833287.03	626919.7	905563.63	
28-Dec-14	733987.97	805199.73	671321.29	798988.21	546660.77	882941.62	
04-Jan-15	435091.05	446742.8	388381.68	440250.07	310760.63	492732.46	
11-Jan-15	296409.53	332166.83	276630.66	314142.95	242393.8	373841.31	
18-Jan-15	328548.31	374375.93	313268.65	370140.83	283026.33	432891.21	
25-Jan-15	387914.59	419896.57	372408.72	442536.42	308192.5	521542.93	
01-Feb-15	299522.74	342638.05	297186.4	329994.87	258228.3	403043.59	
08-Feb-15	311085.46	346484.67	315259.95	360723.18	276857.9	412131.43	
15-Feb-15	330701.76	365917.27	325174.21	378234.73	292347.73	424734.57	
22-Feb-15	328550.51	343310.39	327417.57	380999.03	279021.97	426568.05	
01-Mar-15	326022.69	368080.31	316721.92	359611.73	277366.1	465444.83	
08-Mar-15	335430.37	371719.46	355568.91	367227.64	295488.6	412487.09	
15-Mar-15	328650.82	370829.19	325177.36	334944.75	285257.5	424615.33	
22-Mar-15	341039.39	387321.54	340463	380181.83	297478.5	440449.02	
29-Mar-15	353171.13	403907.46	337197.69	375744.18	306898.9	447163.27	
05-Apr-15	398837.04	491737.25	376235.88	457956.57	323838.53	537098.32	
12-Apr-15	312275.33	352083.04	288833.18	295967.35	263290.87	367772.75	
19-Apr-15	314612.18	367224.51	291263.9	316593.12	271424.27	393457.17	
26-Apr-15	288837.11	362220.96	294869.92	305447.75	261705.77	428879.59	
03-May-15	311615.99	356308.94	297753.12	317120.44	282446.63	395155.42	
10-May-15	318812.07	368376.25	298304.64	328898.14	280450.87	406731.38	
17-May-15	302357.77	349748.06	284341.57	298882.52	265070.3	376659.43	
24-May-15	313920.26	369092.57	293273.93	322952.98	286512.97	386880.05	
31-May-15	309794.85	373463.7	302023.24	315219.72	272109.57	415033.52	
07-Jun-15	326520.31	391614.68	313360.43	347756.03	289528.07	374374.66	
14-Jun-15	282515.55	345872.26	272615.97	293882.52	256430.17	382184.95	
21-Jun-15	295543.62	368684.8	293517.69	299235.28	260813.67	381338.69	
28-Jun-15	296969.5	364744.36	280320.66	309610.23	251710.07	374325.89	
05-Jul-15	343644.9	409862.44	329035.78	385890.92	302343.8	445591.37	
12-Jul-15	329472.07	401936.89	311206.78	340917.75	268404.03	399600.08	
19-Jul-15	305862.38	368232.8	287719.06	316597.01	256532.83	392227	
26-Jul-15	306062.55	378731.15	289396.32	311132.55	254670.53	384073.43	
02-Aug-15	314615.1	380553.37	297398.82	332920.08	268076.97	396907.21	
09-Aug-15	316328.81	380063.85	290914.21	318215.19	261320.77	369102.73	
16-Aug-15	329205.35	390930.72	292132.96	325245.55	280701.67	383776.53	
23-Aug-15	319778.87	377893.83	301122.89	315275.4	268161.67	367671.63	
30-Aug-15	353883.68	409589.9	342260.31	375627.49	305875.53	418706.75	
06-Sep-15	389919.5	429605.5	368235.19	414128.68	325118.93	447239.86	
13-Sep-15	315708.78	374338.61	303425.58	325876.27	262554.97	384421.74	
20-Sep-15	340593.53	412707.81	336811.68	391653.56	289401.2	433820.82	
27-Sep-15	337360.58	407163.03	336524.12	376423.55	291233.07	471558.79	
04-Oct-15	412089.74	463238.37	406554.35	450797.35	314676.63	441840.51	
11-Oct-15	330725.51	362791.09	323431.88	343269.3	272620.33	414811.24	
18-Oct-15	351704.12	383539.81	342094.9	367130.33	292106.47	422445.58	
25-Oct-15	372216.12	404932.84	378164	406808.35	321030.6	469439.03	
01-Nov-15	374694.82	402390.6	394755.48	403474.16	304522.9	454545.44	
08-Nov-15	356058.66	392325.56	364792.67	375154.07	296037.5	388773.73	
15-Nov-15	362552.91	402099.27	345552.97	392527.05	289949.37	419468.07	
22-Nov-15	400278.04	443531.94	384218.87	432693.63	336518.6	434112.31	
29-Nov-15	432954.75	466513.53	415806.2	441473.15	358311.43	477955.99	
06-Dec-15	509800.23	507825.98	476702.16	538889.41	435255.33	549279.68	
